caracNew,modalite,modaNiv1,modaNiv1_Color,modaNiv2_Color,modaNiv2,ModaNiv2remarques,rangInitial
Statuts,Régulier - Couvent mendiant,Régulier mendiant,#e6ab02,#e6ab02,Régulier mendiant,Régulier mendiant,97
Statuts,Régulier - Abbaye,Régulier monastique,#a50f15,#a50f15,Régulier monastique 1,Régulier monastique 1,98
Statuts,Régulier - Prieuré autonome,Régulier monastique,#a50f15,#a50f15,Régulier monastique 1,Régulier monastique 1,99
Statuts,Régulier - Abbaye-fille,Régulier monastique,#a50f15,#de2d26,Régulier monastique 2,Régulier monastique 2,100
Statuts,Régulier - Doyenné,Régulier monastique,#a50f15,#fb6a4a,Régulier monastique 3,Régulier monastique 3,101
Statuts,Régulier - Prieuré (dépendance),Régulier monastique,#a50f15,#fb6a4a,Régulier monastique 3,Régulier monastique 3,102
Statuts,Régulier - Prieuré double Fontevraud,Régulier monastique,#a50f15,#fb6a4a,Régulier monastique 3,Régulier monastique 3,103
Statuts,Régulier - Prieuré simple Fontevraud,Régulier monastique,#a50f15,#fb6a4a,Régulier monastique 3,Régulier monastique 3,104
Statuts,Régulier - Cella,Régulier monastique,#a50f15,#fc9272,Régulier monastique 4,Régulier monastique 4,105
Statuts,Régulier - Prieuré-cure,Régulier monastique,#a50f15,#fc9272,Régulier monastique 4,Régulier monastique 4,106
Statuts,Régulier - Église desservie par un moine,Régulier monastique,#a50f15,#fcbba1,Régulier monastique 5,Régulier monastique 5,107
Statuts,Régulier - Grange,Régulier monastique,#a50f15,#fee5d9,Régulier monastique 6,Régulier monastique 6,108
Statuts,Autre - Hôpital,Séculier,#377eb8,#377eb8,Séculier,Séculier,109
Statuts,Autre - Occupation funéraire,Séculier,#377eb8,#377eb8,Séculier,Séculier,110
Statuts,Autre - Synagogue / Communauté juive,Séculier,#377eb8,#377eb8,Séculier,Séculier,111
Statuts,Autre - Xenodochium,Séculier,#377eb8,#377eb8,Séculier,Séculier,112
Statuts,Séculier - Chapelle,Séculier,#377eb8,#377eb8,Séculier,Séculier,113
Statuts,Séculier - Chapelle castrale,Séculier,#377eb8,#377eb8,Séculier,Séculier,114
Statuts,Séculier - Chapellenies,Séculier,#377eb8,#377eb8,Séculier,Séculier,115
Statuts,Séculier - Collège,Séculier,#377eb8,#377eb8,Séculier,Séculier,116
Statuts,Séculier - Église,Séculier,#377eb8,#377eb8,Séculier,Séculier,117
Statuts,Séculier - Église paroissiale,Séculier,#377eb8,#377eb8,Séculier,Séculier,118
Statuts,Séculier - Oratoire,Séculier,#377eb8,#377eb8,Séculier,Séculier,119
Statuts,Séculier - Séminaire,Séculier,#377eb8,#377eb8,Séculier,Séculier,120
Statuts,Séculier communautaire - Chapitre cathédral séculier,Séculier canonial,#8da0cb,#8da0cb,Séculier canonial,Séculier canonial,121
Statuts,Séculier communautaire - Chapitre collégial séculier,Séculier canonial,#8da0cb,#8da0cb,Séculier canonial,Séculier canonial,122
Statuts,Séculier communautaire - Basilique,Séculier communautaire,#984ea3,#984ea3,Séculier communautaire,Séculier communautaire,123
Statuts,Séculier communautaire - Communauté de clercs,Séculier communautaire,#984ea3,#984ea3,Séculier communautaire,Séculier communautaire,124
Statuts,Séculier communautaire - Communauté de prêtres,Séculier communautaire,#984ea3,#984ea3,Séculier communautaire,Séculier communautaire,125
