idimplantation,usual_name,Vocable,lat,lng,location_granularity,Diocese,nbfact,date_startC_Fact,date_stopC_Fact,DureeSFact,date_startStatut,date_stopStatut,DureeStatut
1038,Rangéval,Sainte Marie-Madeleine,48.76,5.72,precise,Toul,11,1134,1790,656,1136,1790,654
1039,Autrey,Sainte Marie,48.296,6.688,precise,Toul,8,1134,1790,656,1162,1790,628
1040,Jandeures,Sainte Marie,48.72,5.04,precise,Toul,10,1134,1808,674,1143,1808,665
1041,Riéval,NA,48.68,5.56,precise,Toul,11,1126,1800,674,1140,1800,660
1042,Flabémont,Sainte Marie,48.03,5.88,precise,Toul,9,1132,1790,658,1132,1790,658
1043,Bonfays,Sainte Marie,48.19,6.14,precise,Toul,10,1134,1791,657,1145,1791,646
1044,Jovilliers,Saint Pierre et saint Paul,48.62,5.18,precise,Toul,7,1134,1790,656,1141,1790,649
1045,Mureau,Sainte Marie,48.368,5.575,precise,Toul,7,1134,1790,656,1149,1790,641
1046,Bonneval,Sainte Marie,48.13,6.996,precise,Toul,7,1100,1745,645,1100,1745,645
1047,Blanzey,Sainte Agathe,48.762,6.248,precise,Toul,4,1168,1800,632,1168,1800,632
1048,Sainte-Marie-au-Bois,Sainte Marie,48.956,5.962,precise,Toul,8,1138,1800,662,1138,1800,662
1049,Cuite-Fève,NA,48.456,6.324,precise,Toul,5,1197,1800,603,1197,1800,603
1050,Heymonrupt,Saint Jacques,48.868,5.937,precise,Toul,4,1101,1800,699,1101,1800,699
1051,Martinvelle,Saint Pierre et saint Paul,47.975,5.999,precise,Besançon,2,1266,1800,534,1266,1800,534
1052,Xugney,Saint-Jean-Baptiste,48.353,6.245,precise,Toul,8,1020,1790,770,1173,1790,617
1053,Val-de-Passey,Tous-les-Saints,48.642,5.809,precise,Toul,9,1134,1800,666,1236,1800,564
1054,Sainte-Marie-des-Bois,Sainte Marie-Madeleine,48.971682,5.963453,approximative,Toul,6,1126,1800,674,1126,1800,674
1055,Plainemont,NA,48.711202,5.03339,approximative,Toul,6,1134,1220,86,1143,1220,77
1056,Val-des-Nonnes,NA,48.703,5.823,precise,Toul,9,1134,1800,666,1153,1800,647
1057,Harréville-les-chanteurs,Saint Calixte,48.2624606,5.6347294,precise,Toul,4,1036,1800,764,1036,1800,764
1058,Saint-Rigaud,Saint Rigaud,46.2330339,4.2191958,precise,Mâcon,16,1065,1791,726,1065,1791,726
1059,Moutiers-Saint-Jean (Réôme) 2,Saint Jean de Réôme,47.5599973,4.2222829,precise,Langres,21,790,1792,1002,790,1792,1002
1060,La Chaise-Dieu,Saint Robert,45.321108,3.696508,precise,Clermont,8,1052,1800,748,1052,1800,748
1061,Basseville,Notre-Dame,47.496731,3.514731,precise,Auxerre,5,1080,1800,720,1328,1800,472
1062,Belval,Sainte Marie,49.4698651,5.0351192,precise,Reims,3,1132,1148,16,NA,NA,NA
1063,Bellary,Notre-Dame,47.293242,3.145327,precise,Auxerre,4,1080,1800,720,1209,1800,591
1064,Nonnerie (La),NA,NA,NA,NA,Toul,1,NA,NA,NA,NA,NA,NA
1065,Grange-aux-Dames (La),NA,48.045639,5.894151,approximative,Toul,5,1134,1800,666,1161,1800,639
