idimplantation,usual_name,Vocable,lat,lng,location_granularity,Diocese,nbfact,date_startC_Fact,date_stopC_Fact,DureeSFact,date_startStatut,date_stopStatut,DureeStatut
1462,Peyrabout,Madeleine,46.1077978,1.9115366,precise,Limoges,8,1309,1792,483,1309,1792,483
1463,Pétillat,Nicolas,46.0908804,1.9144226,precise,Limoges,8,1309,1792,483,1309,1792,483
1464,Saint-Jean-du-Vieil-Aître,Saint Jean,48.687,6.167,precise,Toul,6,1140,1790,650,1140,1790,650
1465,Ecurey,Notre Dame d'Ecurey,48.5583021,5.2691044,precise,Toul,13,1144,1800,656,1144,1800,656
1466,Saint-Pierre d'Antignac (prieuré Baignes),Saint Pierre,45.492162,-0.483558,precise,Saintes,5,1098,1800,702,1098,1800,702
1467,Saint-Georges d'Antignac (égl. Baignes),Saint Georges,45.492162,-0.483558,precise,Saintes,2,1083,1800,717,1083,1800,717
1468,Saint-Grégoire d'Ardennes (égl. Baignes),Saint Gregoire,45.510436,-0.509121,precise,Saintes,2,1095,1800,705,1095,1800,705
1469,Belluire-Saint-Séverin de Clerbise (égl. Baignes),Saint-Séverin de Clerbise,45.531184,-0.556137,precise,Saintes,2,1083,1800,717,1083,1800,717
1470,Montguyon - Saint-Vincent de Vassiac (égl. Baignes),Saint-Vincent,45.210126,-0.170273,precise,Saintes,2,1082,1800,718,1082,1800,718
1471,Montguyon - Sainte-Marie (chapelle castrale Baignes),Sainte Marie,45.210126,-0.170273,precise,Saintes,2,1082,1800,718,1082,1800,718
1472,Commanderie Saint-Jean-du-Vieil-Aître,Saint-Jean-Baptiste,48.686,6.167,precise,Toul,4,1147,1800,653,1147,1800,653
1473,Neuvicq - Saint-Laurent (égl. Baignes),Saint Laurent,45.254673,-0.166521,precise,Saintes,2,1066,1800,734,1066,1800,734
1474,Chevanceaux - Saint-Pierre (égl. Baignes),Saint Pierre,45.299084,-0.213118,precise,Saintes,3,1111,1800,689,1111,1800,689
1475,Chantillac - Saint-Jean (prieuré Baignes),Saint Jean,45.325939,-0.256398,precise,Angoulême,5,1109,1800,691,1109,1800,691
1476,Polignac - Saint-Caprais (égl. Baignes),Saint Caprais,45.280051,-0.305959,precise,Saintes,2,1075,1800,725,1075,1800,725
1477,Bors - Sainte-Marie-Madeleine (égl. Baignes),Sainte Marie-Madeleine,45.326152,-0.199999,precise,Angoulême,2,1075,1800,725,1075,1800,725
1478,Boisbreteau - Saint-Martin de Venet (égl. Baignes),Saint Martin,45.330234,-0.159155,precise,Angoulême,2,1068,1800,732,1068,1800,732
1479,Boresse-et-Martron - Notre-Dame (égl. Baignes),Notre-Dame,45.273512,-0.127737,precise,Saintes,2,1098,1800,702,1098,1800,702
1480,Lagarde-sur-le-Né - Saint-Pierre (égl. Baignes),Saint Pierre,45.515122,-0.205415,precise,Angoulême,3,1121,1800,679,1121,1800,679
1481,Fontaines-d'Ozillac - Saint-Martin (prieuré Baignes),Saint Martin,45.378341,-0.383786,precise,Saintes,5,1247,1800,553,1247,1800,553
1482,Touvérac - Saint-Martin (égl. Baignes),Saint Martin,45.373774,-0.201718,precise,Angoulême,2,1121,1800,679,1121,1800,679
1483,Saint-Palais-de-Négrignac - Saint-Michel de Montandret (égl. Baignes),Saint Michel,45.274676,-0.202883,precise,Saintes,2,1076,1800,724,1076,1800,724
1484,Homblières,"Notre-Dame, sainte Hunégonde",NA,NA,NA,Noyon,8,675,1793,1118,650,1793,1143
1485,Marienfloss,Sainte Marie,49.435235,6.359066,commune,Trèves,8,1238,1650,412,1238,1650,412
1486,"Trèves, Liebfrauenstift",Sainte Marie,NA,NA,NA,Trèves,3,1100,1802,702,1100,1802,702
1487,Montigny-sur-Loing (d. Charroux),NA,48.340733,2.74986,approximative,Meaux,5,830,1800,970,830,1800,970
1488,Fruttuaria,NA,NA,NA,NA,NA,2,1023,1023,0,NA,NA,NA
1489,Ville-Dommange / Villa Dominica (d. Charroux),NA,49.204971,3.938541,approximative,Reims,4,830,1800,970,830,1800,970
1490,"Clion, Saint-André (Charroux)",Saint-André,45.470932,-0.509849,approximative,Saintes,5,1097.5,1800,702.5,1096,1800,704
1491,"Chadenac, Saint-Martin (Charroux)",Saint Martin,45.544608,-0.450747,approximative,Saintes,1,1080,1800,720,1061,1800,739
1492,Saint-Martin (église Charroux),Saint Martin,50.884572,2.082014,commune,Thérouanne,1,1084,1800,716,1084,1800,716
1493,"Houdancourt, Saint-Georges (église Charroux)",Saint Georges,49.338093,2.647548,approximative,Beauvais,5,937,1800,863,937,1800,863
1494,Ecclesia sancte Marie de Alteno (é. Charroux),Sainte Marie,NA,NA,NA,Rouen,3,1154,1800,646,1154,1800,646
1495,Allouagne (Charroux),NA,50.532187,2.504852,approximative,Thérouanne,2,1061,1800,739,1061,1800,739
1496,"Formerie, Notre-Dame (Charroux)",Sainte Marie,49.649822,1.727988,approximative,Amiens,3,1154,1800,646,1154,1800,646
1497,Bouvresse (é. Charroux),NA,49.651416,1.757878,approximative,Amiens,2,1154,1800,646,1154,1800,646
1498,Ecclesia de Boazeza (é. Charroux),NA,NA,NA,NA,Beauvais,3,1154,1800,646,1154,1800,646
1499,Soulignonne (église Charroux),NA,45.779543,-0.792824,approximative,Saintes,2,1061,1800,739,1061,1800,739
1500,"Soulignonne, Notre-Dame-de-Fournes (Charroux)",Notre-Dame,45.779543,-0.792824,approximative,Saintes,5,1080,1800,720,1061,1800,739
1501,Saint-Vivien (Charroux),Sain Vivien,46.077129,-1.048783,approximative,Saintes,5,1080,1800,720,1061,1800,739
1502,Sainte-Colombe (Charroux),Sainte Colombe,45.282544,-0.273737,approximative,Saintes,1,1080,1800,720,1061,1800,739
1503,Sainte-Lheurine (Charroux),Sainte Lheurine,45.522423,-0.357378,approximative,Saintes,6,1080,1800,720,1061,1800,739
1504,"Macqueville, Saint-Etienne (Charroux)",Saint Etienne,45.796065,-0.203195,approximative,Saintes,1,1182.5,1800,617.5,1154,1800,646
1505,"Auge-Saint-Médard, Notre-Dame (é. Charroux)",Notre-Dame,45.851065,-0.087479,approximative,Saintes,1,1080,1800,720,1061,1800,739
1506,"Saint-Claud, Chalais (Charroux)",NA,45.898587,0.471618,approximative,Angoulême,3,1061,1800,739,1061,1800,739
1507,Ecclesia de Canumeth (é. de Charroux),NA,NA,NA,NA,Angoulême,2,1096,1800,704,1096,1800,704
1508,"Verneuil-Moustier, Saint-Pierre (Charroux)",Saint Pierre,46.336701,1.116524,approximative,Limoges,6,1097.5,1800,702.5,1096,1800,704
1509,Oradour (é. Charroux),NA,46.114362,0.78295,approximative,Limoges,2,1061,1800,739,1061,1800,739
1510,"Margueron, Saint-Martin (Charroux)",Saint Martin,44.766265,0.256316,approximative,Agen,5,1080,1800,720,1061,1800,739
1511,"Laroque-Timbaut, Vitrac (Charroux)",NA,44.277511,0.756045,approximative,Agen,1,1080,1800,720,1061,1800,739
1512,Ecclesia de Artaudis (é. Charroux),NA,NA,NA,NA,Agen,1,1080,1800,720,1061,1800,739
1513,Ecclesia de Bertinio (é. Charroux),NA,NA,NA,NA,Agen,1,1182.5,1800,617.5,1154,1800,646
1514,"Bouloc, Notre-Dame (é. Charroux)",Notre-Dame,44.299651,1.123886,approximative,Cahors,4,1061,1800,739,1061,1800,739
1515,Ecclesia de Misericordia Dei (Charroux),NA,NA,NA,NA,Cahors,4,1061,1800,739,1061,1800,739
1516,"Lémenc, Saint-Pierre",Saint Pierre,45.5725102,5.9247848,precise,Grenoble,7,1029,1791,762,1029,1791,762
1517,Mont-Saint-Quentin,Saint Quentin,49.963366,2.937395,precise,Noyon,7,650,1800,1150,641,1800,1159
1518,"Lobbes, Saint-Ursmer",Saint Ursmer,NA,NA,NA,Liège,11,823,1800,977,823,1800,977
1519,Aulps,Sainte Marie,46.241926,6.6499592,precise,Genève,13,1097,1792,695,1097,1792,695
1520,"Noalhat, Saint-Pierre puis Notre-Dame (Charroux)",Saint Pierre,45.918112,3.463252,approximative,Clermont,7,1096,1800,704,1096,1800,704
1521,Crisenon,NA,47.6424539,3.6603583,precise,Auxerre,2,1225,1225,0,NA,NA,NA
1522,Epoisses,NA,47.2364179,5.0994278,precise,Langres,8,1189,1791,602,1189,1791,602
1523,Saint-Quentin-en-Vermandois,Saint Quentin,NA,NA,NA,Noyon,1,NA,NA,NA,NA,NA,NA
1524,"Noyon, Saint-Barthélémy",Saint Barthélemy,49.578014,3.008441,precise,Noyon,8,1064,1557,493,1064,1557,493
1525,Saint-Quentin-en-l'Île,Saint Quentin,NA,NA,NA,Noyon,1,NA,NA,NA,NA,NA,NA
1526,Saint-Prix,Saint Prix,NA,NA,NA,Noyon,6,986,1471,485,986,1358,372
1527,"Nevers, Saint-Martin",Saint Martin,46.9895455,3.1597481,precise,Nevers,18,600.5,1790,1189.5,501,1790,1289
1528,Solignac,NA,NA,NA,NA,NA,1,985,985,0,NA,NA,NA
1529,Aixe,NA,45.7964057,1.1423863,precise,Limoges,4,985,1800,815,985,1800,815
1530,Biarge,Saint-Jean-Baptiste,45.950592,0.36859,approximative,Angoulême,2,1096,1800,704,1096,1800,704
1531,"Auxerre, Saint-Marien 2",Saint Marien,47.801825,3.576609,precise,Auxerre,9,1134,1790,656,1139,1570,431
1532,Abondance,Sainte Marie,46.2810575,6.7200373,precise,Genève,6,1088,1800,712,1088,1800,712
1533,Chartreuse de Vallon,Chartreuse de Vallon,46.2129053,6.5639139,precise,Genève,1,NA,NA,NA,NA,NA,NA
1534,Vizille,Sainte Marie,45.074575,5.779355,precise,Grenoble,5,991,1800,809,991,1800,809
1535,"Ham, abbaye Notre-Dame",Notre-Dame,49.753305,3.07375,precise,Noyon,8,1105,1790,685,1105,1790,685
1536,Saint-Étienne de Pontarlier,NA,46.911819,6.388716,commune,Besançon,4,1428,1800,372,1428,1800,372
1537,Saint-Oyand de Mouthier-en-Bresse,Saint Oyand,46.863257,5.380551,commune,Chalon,6,850.5,1800,949.5,801,1800,999
1538,La Souterraine,NA,NA,NA,NA,NA,4,1216,1500,284,NA,NA,NA
1539,Bussière-Dunoise,Saint Symphorien,46.2583594,1.7634411,precise,Limoges,2,1159,1800,641,1159,1800,641
1540,Bellevaux,Notre-Dame,47.413055,6.132381,commune,Besançon,8,1119,1790,671,1119,1790,671
1541,Bithaine,NA,47.706785000000004,6.396386,commune,Besançon,5,1133,1800,667,1133,1800,667
1542,La Charité,Notre-Dame,47.539479,5.960313,commune,Besançon,11,1131,1791,660,1131,1791,660
1543,Cherlieu,NA,47.781088,5.82421,precise,Besançon,9,1131,1791,660,1131,1791,660
1544,Ecclesia de Macovilla (Charroux),Saint Macon,NA,NA,NA,Clermont,2,1096,1800,704,1096,1800,704
1545,La Sauve-Majeure,NA,44.763127,-0.311909,commune,Bordeaux,2,1121,1161,40,NA,NA,NA
1546,Fontgaufier,Notre Dame et saint Gérault,44.817034,0.97840800000000006,commune,Sarlat,3,1165,1177,12,NA,NA,NA
1547,Madion,Notre-Dame,45.537881,-0.728722,commune,Saintes,3,1170,1200,30,NA,NA,NA
1548,Saint-Paul,Sainte-Marie-Saint-Paul-Saint-Antide,47.239162,6.0294,precise,Besançon,13,625,1769,1144,625,1769,1144
1549,Saint-Germain-les-Arlay,NA,NA,NA,NA,Besançon,5,1687,1800,113,1687,1800,113
1550,Saint-Aldegrin,NA,NA,NA,NA,Besançon,5,1144,1800,656,1284,1800,516
1551,Saint-Martin de Bregille,Saint Martin,47.255127,6.019281,approximative,Besançon,6,870,1800,930,870,1800,930
1552,Château-Chalon,Sainte Marie,46.759333,5.649146,precise,Besançon,4,869,1790,921,869,1790,921
1553,Jussa-Mouthier,Notre-Dame,47.255127,6.019281,approximative,Besançon,1,NA,NA,NA,NA,NA,NA
1554,Baume-les-Messieurs,Saint Pierre,46.70808,5.648836,precise,Besançon,32,869,1790,921,869,1759,890
1555,Sermesse,Saint Pierre,46.894474,5.093448,commune,Chalon,3,1611,1800,189,1611,1800,189
1556,Scey-en-Varais,Saint Pierre,47.108996,6.078321,commune,Besançon,3,1506,1800,294,1506,1800,294
1557,Savigny-en-Revermont,Saint Vivant,NA,NA,NA,Besançon,3,1409,1800,391,1409,1800,391
1558,Notre-Dame de Sauvement,Notre-Dame,46.794745,5.555475,commune,Besançon,6,1442,1800,358,1442,1800,358
1559,Sileze/Saint-Lothain,NA,46.828681,5.639361,precise,Besançon,8,475,1790,1315,450,1790,1340
1560,Saint-Désiré,Saint Désiré,46.674876,5.558227,precise,Besançon,5,1449,1800,351,1449,1800,351
1561,Moutherot-les-Étrabonne,Saint Pierre,47.232448,5.737362,commune,Besançon,4,1440,1800,360,1440,1800,360
1562,Jouhe,Saint Pierre,47.140285,5.485557,precise,Besançon,5,1363,1800,437,1363,1800,437
1563,Montroland,Notre-Dame,47.140285,5.485557,precise,Besançon,4,1185,1800,615,1185,1800,615
1564,Dieu-en-Souvienne,Saint Rémi,48.866613,5.078899,precise,Toul,5,1134,1800,666,1220,1800,580
1565,Notre-Dame de Beauchamp,Sainte Marie,49.108697,5.080835,precise,Verdun,6,1134,1800,666,1217,1800,583
1566,Fontenay,NA,47.6404154,4.389372,precise,Autun,2,1132,1132,0,NA,NA,NA
1567,"Charroux, Saint-Michel (église)",Saint Michel,46.139863,0.415516,approximative,Poitiers,3,1050,1634,584,1050,1634,584
1568,"Maurs, Saint-Césaire ou Saint-Sulpice",Saint-Sulpice,44.710628,2.198459,precise,Saint-Flour,5,1080,1800,720,1080,1800,720
1569,La Forêt,NA,45.808231,2.713457,approximative,Clermont,4,1134,1800,666,1170,1800,630
1570,"Cléré-les-Pins, Saint-Hilaire (Charroux)",Saint-Hilaire,47.445178,0.379078,approximative,Poitiers,8,1061,1800,739,1061,1800,739
1571,"Montmorillon, Saint-Nicolas (Charroux)",Saint Nicolas,46.426354,0.895545,approximative,Poitiers,2,1061,1800,739,1061,1800,739
1572,Saint-Martin-de-Brem (é. Charroux),Saint Martin,46.61183,-1.811563,approximative,Poitiers,1,1080,1800,720,1061,1800,739
1573,Ecclesia Sancti Sirici,NA,NA,NA,NA,Poitiers,1,1080,1800,720,1061,1800,739
1574,"Marignac, Saint-Hilaire (Charroux)",Saint-Hilaire,45.519583,-0.471876,approximative,Saintes,6,1080,1800,720,1061,1800,739
1575,Sainte-Colombe (Charroux),Sainte Colombe,44.855763,0.741878,approximative,Périgueux,6,1080,1800,720,1061,1800,739
1576,"Ribagnac, Saint-Sixte (Charroux)",Saint Sixte,NA,NA,NA,Saintes,5,1080,1800,720,1061,1800,739
1577,Ribagnac (Charroux),NA,44.757863,0.485195,approximative,Bordeaux,3,1061,1800,739,1061,1800,739
1578,"Mussidan, Notre-Dame (Charroux)",Notre-Dame,45.029254,0.364481,approximative,Périgueux,1,1165,1800,635,1154,1800,646
1579,"Limeuil, Saint-Médard (Charroux)",Saint Médard,44.897419,0.896191,approximative,Périgueux,6,1117,1800,683,1117,1800,683
1580,Parcoul (Charroux),NA,45.20155,0.055538,approximative,Périgueux,1,1100,1800,700,1099,1800,701
1581,Ecclesia S. Egidii (église Charroux),Saint Gilles,NA,NA,NA,Périgueux,2,1080,1800,720,1061,1800,739
1582,Saint-Sauveur-Lalande,Saint Sauveur,44.976811,0.252115,approximative,Périgueux,1,1080,1800,720,1061,1800,739
1583,La Techea / Las Lechas (église Charroux,NA,NA,NA,NA,Périgueux,1,1109,1800,691,1101,1800,699
1584,église Saint-Pierre d'Ellers ou Elbe (église Charroux),Saint Pierre,NA,NA,NA,Périgueux,1,1080,1800,720,1061,1800,739
1585,Bourgnac (église Charroux),NA,45.017359,0.398155,approximative,Poitiers,1,1109,1800,691,1101,1800,699
1586,Saint-Pierre-de-Frugie (Charroux),NA,45.584227,1.006302,approximative,Périgueux,1,1080,1800,720,1061,1800,739
1587,Saint-Priest-les-Fougères (Charroux),Saint Projet,45.540779,1.023356,approximative,Périgueux,1,1182.5,1800,617.5,1154,1800,646
1588,"Mont-la-Chapelle, Saint-Vincent  (Charroux)",Saint-Vincent,46.684111,1.046551,approximative,Bourges,3,1154,1800,646,1154,1800,646
1589,Ménétréol-sous-Vantan (Charroux),NA,47.008867,1.835609,approximative,Bourges,2,1061,1800,739,1061,1800,739
1590,Puypéroux,Saint Gilles,45.450634836998,0.14455,precise,Angoulême,2,NA,NA,NA,NA,NA,NA
1591,"Aire-sur-l'Adour, Sainte-Quitterie",Sainte Quitterie,43.6972,-0.2686,precise,Aire,6,1119,1800,681,1119,1800,681
1592,Albignac,Notre-Dame,45.1388189663438,1.6774508357048,precise,Limoges,2,NA,NA,NA,NA,NA,NA
1593,Vendeuvre,Saint Georges,48.2372292,4.4649781,precise,Langres,5,1080,1791,711,1080,1791,711
1594,Saint-Nicolas d'Angers,Saint Nicolas,47.4727028,-0.5721836,approximative,Angers,1,NA,NA,NA,NA,NA,NA
1595,Beaulieu,Sainte Trinité,47.1288437,1.0125889,precise,Tours,1,NA,NA,NA,NA,NA,NA
1596,L'Étoile (Archigny),Notre-Dame,46.653889,0.703333,precise,Poitiers,2,NA,NA,NA,NA,NA,NA
1597,"Tours, Saint-Martin",NA,NA,NA,NA,NA,1,937,937,0,NA,NA,NA
1598,Turpenay,Notre-Dame,47.240723,0.3490855,approximative,Tours,1,NA,NA,NA,NA,NA,NA
1599,La Clarté-Dieu,Notre-Dame,47.6015221,0.4557864,approximative,Tours,1,NA,NA,NA,NA,NA,NA
1600,Saint-Aubin d'Angers,Saint Aubin,47.4683842,-0.5531614,approximative,Angers,1,NA,NA,NA,NA,NA,NA
1601,Laverré,Notre-Dame,46.4693116159234,0.315674543380737,precise,Poitiers,1,NA,NA,NA,NA,NA,NA
1602,Bas-Nueil,Saint Jean,47.062339,-0.095465,precise,Poitiers,5,1076,1800,724,1076,1800,724
1603,Bourg-Charente,Saint Etienne,45.6732,-0.218237,precise,Saintes,5,1107,1800,693,1107,1800,693
1604,Bouteville,Saint Paul,45.5998517440679,-0.140858888626099,precise,Saintes,4,1107,1800,693,1107,1800,693
1605,Saint-Thomas-de-Conac,Saint-Thomas,45.3885689381889,-0.68664014339447,precise,Saintes,3,1107,1800,693,1107,1800,693
1606,Brantôme,Saint Pierre,45.364651549,0.6473469565,precise,Périgueux,6,817,1800,983,817,1800,983
1607,Beaulieu,Sainte Trinité,47.1288437,1.0125889,precise,Tours,1,NA,NA,NA,NA,NA,NA
1608,Beaulieu,Sainte Trinité,47.1288437,1.0125889,precise,Tours,1,NA,NA,NA,NA,NA,NA
1609,Beaulieu,Sainte Trinité,47.1288437,1.0125889,precise,Tours,1,NA,NA,NA,NA,NA,NA
1610,Beaulieu,Sainte Trinité,47.1288437,1.0125889,precise,Tours,1,NA,NA,NA,NA,NA,NA
1611,Beaulieu,Sainte Trinité,47.1288437,1.0125889,precise,Tours,1,NA,NA,NA,NA,NA,NA
1612,Ecclesia de Nobiliaco (Charroux),NA,NA,NA,NA,Clermont,7,783,1800,1017,783,1800,1017
1613,Perrier (Charroux),NA,45.545029,3.198759,approximative,Clermont,7,783,1800,1017,783,1800,1017
1614,Gannat (Charroux),NA,NA,NA,NA,Clermont,10,783,1800,1017,783,1800,1017
1615,Mareugheol (Charroux),NA,45.484326,3.161448,approximative,Clermont,6,783,1800,1017,783,1800,1017
1617,Cadouin,Notre-Dame,44.811528,0.87375,precise,Périgueux,9,1115,1800,685,1115,1800,685
1618,Ecclesia de Cella (Charroux),NA,NA,NA,NA,Clermont,3,1096,1800,704,1096,1800,704
1619,Ecclesia Beate Marie de Ambernac (é. Charroux),Notre-Dame,NA,NA,NA,Clermont,2,1096,1800,704,1096,1800,704
1620,Ecclesia Sancti Petri de Ambernac (Charroux),Saint Pierre,NA,NA,NA,Clermont,2,1096,1800,704,1096,1800,704
1621,Ecclesia sancti Martini de Amberac (Charroux),Saint Martin,NA,NA,NA,Clermont,2,1154,1800,646,1154,1800,646
1622,Précy,Sainte Trinité,47.400913,4.316516,commune,Autun,1,NA,NA,NA,NA,NA,NA
1623,Ecclesia Sancti Dyonisii de Lassezea (é. Charroux),Saint Denis,NA,NA,NA,Clermont,1,1125,1800,675,1096,1800,704
1624,"Tilly, Sainte-Marie (Charroux)",Sainte Marie,46.40506,1.21144,approximative,Limoges,2,1080,1800,720,1061,1800,739
1625,Beaulieu,Sainte Trinité,47.1288437,1.0125889,precise,Tours,1,NA,NA,NA,NA,NA,NA
1626,Saint-Pierre de Preuilly,Saint Pierre,46.8532979,0.9311892,precise,Tours,1,NA,NA,NA,NA,NA,NA
1627,Lanville,Notre-Dame,45.85548182728356,0.01272439956665,precise,Angoulême,8,1120,1793,673,1120,1793,673
1628,"Montsalvy, Notre-Dame-de-l'Assomption",Notre-Dame de l'Assomption,44.707045,2.500763,precise,Saint-Flour,3,1060,1800,740,1060,1800,740
1629,Saint-Julien de Tours,Saint Julien,47.3958823,0.6874609,precise,Tours,1,NA,NA,NA,NA,NA,NA
1630,Saint-Etienne-Cantalès,Saint Etienne,44.948547,2.225519,precise,Saint-Flour,1,1417,1800,383,1417,1800,383
1631,"La Ségalassière, Notre-Dame-de-l'Assomption",Notre-Dame de l'Assomption,44.893497000000004,2.206502,precise,Saint-Flour,1,1417,1800,383,1417,1800,383
1632,"Cayrols, Sainte-Anne",Notre Dame de l'Assomption et sainte Anne,44.832477,2.234151,precise,Saint-Flour,2,1289,1800,511,1289,1800,511
1633,Bourgueil,Saint Pierre,47.2809555,0.1721723,precise,Angers,2,1076,1076,0,NA,NA,NA
1634,"Loubillé, église de Narçay (Charroux)",NA,46.044001,-0.064229,approximative,Poitiers,4,1050,1800,750,1050,1800,750
1635,Fontenille (Charroux),NA,45.912344,0.174232,precise,Angoulême,2,1061,1800,739,1061,1800,739
1636,"Saint-Gourson, Domezac (Charroux)",NA,45.952266,0.31305500000000003,approximative,Bordeaux,2,1061,1800,739,1061,1800,739
1637,Saint-Gourson (Charroux),NA,45.952266,0.31305500000000003,approximative,Bordeaux,2,1061,1800,739,1061,1800,739
1638,Les Eglisottes-et-Chareures (Charroux),NA,45.092772,-0.032745,approximative,Bordeaux,8,1154,1800,646,1154,1800,646
1639,Beaulieu,Sainte Trinité,47.1288437,1.0125889,precise,Tours,1,NA,NA,NA,NA,NA,NA
1641,Bourgueil,Saint Pierre,47.309088,0.174682,precise,Angers,1,NA,NA,NA,NA,NA,NA
1642,"Lyon, Saint-Paul",Saint Paul,45.766880286,4.8271694982,precise,Lyon,32,810.5,1790,979.5,809,1790,981
1643,"Montataire, Notre-Dame",Notre-Dame,49.256940249,2.4433160108,precise,Beauvais,2,NA,NA,NA,Inf,-Inf,NA
1644,"Lyon, Saint-Just",Saint-Just,45.755557306,4.817568578,precise,Lyon,42,450.5,1800,1349.5,401,1800,1399
1645,"Salins-les-Bains, Saint-Maurice",Saint Maurice,46.943667,5.88,precise,Besançon,5,1198,1790,592,1198,1790,592
1646,"Cerdon, Saint-Jean-Baptiste",Saint-Jean-Baptiste,46.081340685,5.4675902556,precise,Lyon,7,1479,1790,311,1479,1790,311
1647,"Lagnieu, Saint-Jean-Baptiste",Saint-Jean-Baptiste,45.903861,5.348096,approximative,Lyon,4,1476,1790,314,1476,1790,314
1648,"Creil, Saint-Évremond",Saint-Évremond,49.260885168,2.4735505614,precise,Beauvais,2,NA,1790,NA,Inf,1790,NA
1649,"Lyon, Saint-Georges",Saint Georges,45.757743819,4.825456265,precise,Lyon,5,835,1193,358,830,1193,363
1650,"Montbrison, Notre-Dame",Notre-Dame,45.605686161,4.0665620152,precise,Lyon,4,1223,1790,567,1223,1790,567
1651,"Montluel, Notre-Dame",Notre-Dame,45.852907553,5.0576269626,precise,Lyon,6,1530,1800,270,1530,1800,270
1652,"Poncin, Saint-Martin",Saint Martin,46.08637,5.407197,rue,Lyon,4,1440,1790,350,1440,1790,350
1653,"Barjols, Notre-Dame-Saint-Jean-Baptiste","Notre-Dame, saint Jean-Baptiste",43.5571878,6.0080407,approximative,Fréjus,4,1062,1790,728,1062,1790,728
1654,"Aups, Notre-Dame-Saint-Jean-Baptiste","Notre-Dame, saint Jean-Baptiste",43.627364,6.22354,rue,Fréjus,4,1000,1499,499,1000,1499,499
1655,"Aups, Saint-Pancrace",Saint-Pancrace,43.6271927,6.223352,approximative,Fréjus,4,1499,1800,301,1499,1800,301
1656,"Antoing, Notre-Dame",Notre-Dame,50.565769608,3.4476913247,precise,Cambrai,6,1000,1797,797,999,1797,798
1657,"Bourg-lès-Valence, Saint-Pierre",Saint Pierre,44.947037,4.894633,rue,Valence,2,1220,1800,580,1220,1800,580
1658,"Montélimar, Sainte-Croix",Sainte Croix,44.558477,4.750177,precise,Die et Valence,5,1449,1800,351,1449,1800,351
1659,"Crest, Saint-Sauveur",Saint Sauveur,44.728849429,5.0229092623,precise,Die et Valence,6,1277,1800,523,1277,1800,523
1660,"Tournon-sur-Rhône, Saint-Julien",Saint Julien,45.068362066,4.8309139126,precise,Die et Valence,6,1226,1800,574,1226,1800,574
1661,"Thiers, Saint-Genès",Saint Genès,45.856971125,3.5492673687,precise,Clermont,4,1016,1790,774,1016,1790,774
1662,"Saint-Chamant, Notre-Dame",Notre-Dame,45.08936317,2.4420868684,precise,Clermont,4,1483,1790,307,1483,1790,307
1663,"Metz, Notre-Dame-la-Ronde",Notre-Dame-la-Ronde,49.119792198,6.1754107475,precise,Metz,4,1131,1741,610,1131,1741,610
1664,"Metz, Saint-Paul-sur-le-Cloître",Saint-Paul-sur-le-Cloître,49.119312,6.175744,precise,Metz,3,1701,1745.5,44.5,Inf,1790,NA
1665,"Metz, Saint-Pierre-aux-Images",Saint-Pierre-aux-Images,49.119843,6.175723,precise,Metz,4,1101,1728,627,1101,1755,654
1666,"Metz, Saint-Pierre-le-Vieux",Saint-Pierre-le-Vieux,49.1204624,6.1764156,precise,Metz,1,NA,NA,NA,Inf,-Inf,NA
1667,"Metz, Saint-Sauveur",Saint Sauveur,49.1182233,6.1753683,precise,Metz,3,1070,1800,730,1070,1800,730
1668,"Metz, Saint-Thiébaut",Saint-Thiébaut,49.1112794,6.1769899,approximative,Metz,3,1158,1800,642,1158,1800,642
1669,"Briey, Saint-Gengoult",Saint Gengoult,49.248466,5.936677,precise,Metz,4,1331,1745.5,414.5,1331,1790,459
1670,"Fénétrange, Saint-Pierre",Saint Pierre,48.8474693,7.0218041,precise,Metz,2,1350.5,1800,449.5,1301,1800,499
1671,"Hombourg-Haut, Saint-Etienne",Saint Etienne,49.125212,6.775558,precise,Metz,4,1250,1743,493,1250,1743,493
1672,"Hornbach, Saint-Fabian",Saint-Fabian,49.1865202,7.3697258,precise,Metz,3,901,1800,899,901,1800,899
1673,"Marsal, Saint-Léger",Saint Léger,48.78814,6.609131,precise,Metz,6,1222,1773,551,1222,1773,551
1674,"Mars-la-Tour, Notre-Dame",Notre-Dame,49.0979779,5.8843721,precise,Metz,4,1502,1790,288,1502,1790,288
1675,"Munster, Saint-Nicolas",Saint Nicolas,48.915067,6.903982,precise,Metz,4,1255,1594,339,1255,1594,339
1676,"Ottweiler, Saint-Térence",Saint-Térence,49.4045878,7.1701317,approximative,Metz,3,801,1800,999,801,1800,999
1677,"Saarbrücken, Saint-Arnaul",Saint-Arnaul,49.21701,7.017034,precise,Metz,3,601,1800,1199,601,1800,1199
1678,"Sarrebourg, Saint-Etienne",Saint Etienne,48.7346151,7.051616,precise,Metz,3,1256,1800,544,1256,1800,544
1679,"Vic-sur-Seille, Saint-Etienne",Saint Etienne,48.782266,6.529863,rue,Metz,3,1235,1800,565,1235,1800,565
1680,"Toul, Saint-Gengoult",Saint Gengoult,48.675061585,5.8889153962,precise,Toul,8,965,1800,835,965,1800,835
1681,"Bar-le-Duc, Saint-Maxe",Saint-Maxe,48.7718734,5.15644,approximative,Toul,6,992,1782,790,992,1782,790
